ratio = 2.0130361959732683, flow_size = 0.008065MB
ratio = 2.0917958386044018, flow_size = 0.038942MB
ratio = 2.5849901449063766, flow_size = 0.9945MB
ratio = 2.4048949240919097, flow_size = 0.056237MB
ratio = 2.0093172044738563, flow_size = 1.655656MB
ratio = 2.417467152478746, flow_size = 0.022458MB
ratio = 2.1776483915816423, flow_size = 4.13776MB
ratio = 2.042048996460985, flow_size = 0.073263MB
ratio = 2.1813683145742684, flow_size = 6.494805MB
ratio = 2.0090275299352776, flow_size = 0.054998MB
ratio = 2.400395854595055, flow_size = 2.579095MB
ratio = 2.0184862831443366, flow_size = 0.003622MB
ratio = 3.290027649418696, flow_size = 0.455052MB
ratio = 2.988322644301924, flow_size = 0.011932MB
ratio = 2.0985081534236647, flow_size = 8.593157MB
ratio = 2.4402942209835263, flow_size = 0.008977MB
ratio = 2.6888468771846905, flow_size = 0.036854MB
ratio = 2.5099572214061188, flow_size = 0.118971MB
ratio = 2.8991732288100818, flow_size = 1.090555MB
ratio = 2.529752691059286, flow_size = 0.005763MB
ratio = 2.451788814231615, flow_size = 0.077844MB
ratio = 2.3924989982732567, flow_size = 1.199633MB
ratio = 2.944763143667749, flow_size = 0.741648MB
ratio = 2.7457204479484885, flow_size = 0.460421MB
ratio = 2.4547449527804766, flow_size = 1.821248MB
ratio = 2.6567698423534702, flow_size = 0.066007MB
ratio = 2.6187406754861864, flow_size = 2.018054MB
ratio = 2.658698680369949, flow_size = 0.039526MB
ratio = 3.084089776053467, flow_size = 0.005531MB
ratio = 3.580266435611394, flow_size = 0.037302MB
ratio = 2.396341655230448, flow_size = 0.056468MB
ratio = 2.1938391311129406, flow_size = 0.00564MB
ratio = 2.9902504089891724, flow_size = 0.0043MB
ratio = 2.160663904333558, flow_size = 0.048048MB
ratio = 2.749124884023741, flow_size = 0.033303MB
ratio = 3.1390584725254804, flow_size = 0.028665MB
ratio = 2.6970666954989406, flow_size = 0.499434MB
ratio = 2.2140810748833992, flow_size = 0.042606MB
ratio = 2.283995474114141, flow_size = 9.533623MB
ratio = 2.745591855712992, flow_size = 0.108215MB
ratio = 3.133950597255447, flow_size = 0.054473MB
ratio = 2.4486606000228384, flow_size = 0.039689MB
ratio = 2.3341775169378494, flow_size = 0.031989MB
ratio = 2.7215077752009496, flow_size = 0.904472MB
ratio = 2.5361031673518437, flow_size = 1.38261MB
ratio = 3.190431614897348, flow_size = 0.499617MB
ratio = 3.5320988702461293, flow_size = 0.005522MB
ratio = 3.003708367281436, flow_size = 0.000893MB
ratio = 3.498155196443448, flow_size = 0.007324MB
ratio = 4.152458024519543, flow_size = 0.007758MB
ratio = 4.567944449803814, flow_size = 0.040207MB
ratio = 2.287916108536897, flow_size = 0.024413MB
ratio = 2.1894972774996226, flow_size = 0.008608MB
ratio = 2.2826321319084544, flow_size = 0.093541MB
ratio = 2.0409536085333966, flow_size = 0.822903MB
ratio = 3.0347581131151413, flow_size = 7.260638MB
ratio = 3.133363609128089, flow_size = 6.754757MB
ratio = 2.9638026288846535, flow_size = 0.03924MB
ratio = 3.339683970445637, flow_size = 1.896897MB
ratio = 3.463347876876847, flow_size = 3.371784MB
ratio = 4.739575410397886, flow_size = 0.139397MB
ratio = 2.8384095364578945, flow_size = 1.655359MB
ratio = 2.214061564729317, flow_size = 0.078587MB
ratio = 2.670169839936999, flow_size = 5.295656MB
ratio = 3.0613377314792256, flow_size = 2.611232MB
ratio = 2.5529224496851897, flow_size = 0.20475MB
ratio = 3.4024599849607906, flow_size = 7.465191MB
ratio = 3.5929181690423215, flow_size = 0.00075MB
ratio = 2.3968039286508356, flow_size = 1.495666MB
ratio = 3.791282057358628, flow_size = 0.00256MB
ratio = 2.818184623633723, flow_size = 0.291513MB
ratio = 4.046532421736138, flow_size = 0.035869MB
ratio = 3.42481855878774, flow_size = 0.038837MB
ratio = 2.2111606958714796, flow_size = 0.068365MB
ratio = 2.5751976937457965, flow_size = 0.000595MB
ratio = 4.774040262034592, flow_size = 0.089663MB
ratio = 3.534970177181179, flow_size = 0.015749MB
ratio = 3.2385478714947467, flow_size = 3.377843MB
ratio = 2.8775219648654784, flow_size = 0.799923MB
ratio = 3.973118631770619, flow_size = 4.856185MB
ratio = 3.231926885534732, flow_size = 0.068436MB
ratio = 3.5421823757568114, flow_size = 0.027218MB
ratio = 3.0436076113454513, flow_size = 0.023017MB
ratio = 3.32785034279526, flow_size = 2.142276MB
ratio = 2.284647427329696, flow_size = 0.015372MB
ratio = 4.258842237427598, flow_size = 0.007016MB
ratio = 3.585394319856849, flow_size = 4.867564MB
ratio = 4.231534922626516, flow_size = 0.043831MB
ratio = 2.681741048115546, flow_size = 0.005954MB
ratio = 4.5465222459110475, flow_size = 0.018764MB
ratio = 2.758671014794913, flow_size = 0.051709MB
ratio = 4.4221277167045745, flow_size = 0.005865MB
ratio = 3.5890774731683757, flow_size = 0.122438MB
ratio = 2.3863283778876063, flow_size = 0.00948MB
ratio = 2.7467214680147967, flow_size = 1.101351MB
ratio = 2.4040731939960485, flow_size = 0.015475MB
ratio = 3.521688612717784, flow_size = 0.077684MB
ratio = 3.6722866882072314, flow_size = 0.0093MB
ratio = 4.193919975623366, flow_size = 0.9192MB
ratio = 3.770068212125331, flow_size = 0.0341MB
ratio = 3.6447627780634733, flow_size = 0.007415MB
ratio = 3.66469164161481, flow_size = 1.984575MB
ratio = 3.429314514139071, flow_size = 0.007748MB
ratio = 4.051254388387046, flow_size = 0.01835MB
ratio = 4.296476250080115, flow_size = 0.578111MB
ratio = 3.356444611781775, flow_size = 0.024854MB
ratio = 5.327343250467236, flow_size = 0.029953MB
ratio = 3.519895992162873, flow_size = 0.00136MB
ratio = 3.2675905112604817, flow_size = 9.774328MB
ratio = 5.058668219610373, flow_size = 0.04845MB
ratio = 4.978779282818627, flow_size = 0.112989MB
ratio = 4.43566234646447, flow_size = 0.699763MB
ratio = 2.938479052014036, flow_size = 0.004042MB
ratio = 3.6675377007263656, flow_size = 0.023894MB
ratio = 2.2568524944036605, flow_size = 0.013197MB
ratio = 3.2743712379125864, flow_size = 0.03846MB
ratio = 3.143713530202532, flow_size = 0.03451MB
ratio = 2.1022900023394953, flow_size = 0.720162MB
ratio = 4.208123201595541, flow_size = 0.039723MB
ratio = 4.017062464739866, flow_size = 0.058896MB
ratio = 5.5611551394787115, flow_size = 0.01178MB
ratio = 5.075298820019507, flow_size = 0.396953MB
ratio = 3.2391561795157813, flow_size = 0.059815MB
ratio = 2.739333869468495, flow_size = 0.485641MB
ratio = 2.377231228203609, flow_size = 0.061487MB
ratio = 2.01535026160456, flow_size = 0.160729MB
ratio = 3.3962231657186583, flow_size = 0.112923MB
ratio = 4.979986700427121, flow_size = 0.048585MB
ratio = 3.004727882182446, flow_size = 3.700997MB
ratio = 3.2641390052552404, flow_size = 0.006966MB
