ratio = 3.998833916375146, flow_size = 0.043966MB
ratio = 9.10623265203129, flow_size = 0.042556MB
ratio = 8.863832152285674, flow_size = 0.072424MB
ratio = 4.963111413043478, flow_size = 0.251907MB
ratio = 2.1001403092589648, flow_size = 0.725316MB
ratio = 2.1218560860793545, flow_size = 1.230979MB
ratio = 4.4596600224350675, flow_size = 0.038998MB
ratio = 2.238552437223043, flow_size = 0.111877MB
ratio = 7.864375290292615, flow_size = 0.003465MB
ratio = 7.699715992307595, flow_size = 1.773834MB
ratio = 2.250370841279932, flow_size = 0.013303MB
ratio = 4.807685950413223, flow_size = 0.045054MB
ratio = 3.844915764139591, flow_size = 0.05933MB
ratio = 2.0462426041318578, flow_size = 1.114306MB
ratio = 2.310981419723678, flow_size = 0.000909MB
ratio = 3.9901923438783613, flow_size = 2.549242MB
ratio = 8.14169342168181, flow_size = 1.996001MB
ratio = 4.172515097111147, flow_size = 0.046921MB
ratio = 18.62193934335003, flow_size = 0.072199MB
ratio = 4.6560287803179765, flow_size = 0.003521MB
ratio = 20.025693160813308, flow_size = 0.02982MB
ratio = 4.364402553361261, flow_size = 0.189539MB
ratio = 7.7449488085530485, flow_size = 0.032386MB
ratio = 5.5225446428571425, flow_size = 0.061025MB
ratio = 2.3374952776728373, flow_size = 4.320843MB
ratio = 14.414465480104296, flow_size = 0.00598MB
ratio = 2.939012240250498, flow_size = 0.068347MB
ratio = 7.288838964011699, flow_size = 0.182111MB
ratio = 2.6650461355293182, flow_size = 0.02098MB
ratio = 2.1309882421533377, flow_size = 0.023488MB
ratio = 2.5549962245154796, flow_size = 0.090292MB
ratio = 2.089662389161205, flow_size = 0.117307MB
ratio = 2.032743067156699, flow_size = 0.164556MB
ratio = 32.492930978537984, flow_size = 0.158031MB
ratio = 45.760618318405086, flow_size = 0.065888MB
ratio = 5.451246866736344, flow_size = 3.933132MB
ratio = 14.33953125, flow_size = 0.026704MB
ratio = 3.349120479843128, flow_size = 3.002925MB
ratio = 3.5283946910934088, flow_size = 6.734281MB
ratio = 18.40299212598425, flow_size = 0.127991MB
ratio = 22.70486725663717, flow_size = 0.031214MB
ratio = 2.4623974777506734, flow_size = 6.888625MB
ratio = 2.173286854417026, flow_size = 0.030779MB
ratio = 17.422594142259413, flow_size = 0.111709MB
ratio = 2.055404310147759, flow_size = 0.52429MB
ratio = 9.706929735285522, flow_size = 1.084413MB
ratio = 6.819478613218664, flow_size = 0.4777MB
ratio = 24.218142863086076, flow_size = 0.47413MB
ratio = 12.292696928691516, flow_size = 0.191628MB
ratio = 21.280820553674566, flow_size = 0.020523MB
ratio = 6.186518059363452, flow_size = 0.901334MB
ratio = 3.986259770000498, flow_size = 0.140322MB
ratio = 10.109927652733118, flow_size = 0.069051MB
ratio = 28.748024505016424, flow_size = 0.035061MB
ratio = 115.87462520821765, flow_size = 0.00814MB
ratio = 8.623105857066093, flow_size = 0.011738MB
ratio = 68.35606850335071, flow_size = 0.030453MB
ratio = 2.416913599015095, flow_size = 9.472732MB
ratio = 53.775475923852184, flow_size = 0.049887MB
ratio = 9.732424577913092, flow_size = 0.073105MB
ratio = 2.81697755593358, flow_size = 3.953439MB
ratio = 9.662682602921647, flow_size = 0.004235MB
ratio = 2.6808977264419913, flow_size = 0.227037MB
ratio = 46.542174143278615, flow_size = 0.058415MB
ratio = 6.073220016640913, flow_size = 0.00107MB
ratio = 7.362168509638908, flow_size = 0.022643MB
ratio = 10.405237039383382, flow_size = 0.013716MB
ratio = 8.141480582876902, flow_size = 3.184671MB
ratio = 17.909201298701298, flow_size = 1.737586MB
ratio = 79.90660888407368, flow_size = 0.010858MB
ratio = 47.96425365216682, flow_size = 0.046907MB
ratio = 3.4730846075433233, flow_size = 1.363352MB
ratio = 4.337391304347826, flow_size = 0.012068MB
ratio = 152.9599293520256, flow_size = 0.008815MB
ratio = 56.98469192499043, flow_size = 0.181236MB
ratio = 112.34554808903822, flow_size = 0.01433MB
ratio = 8.609445308885991, flow_size = 0.184367MB
ratio = 4.577376310545014, flow_size = 0.176039MB
ratio = 63.17885628291949, flow_size = 0.059252MB
ratio = 17.228323209834716, flow_size = 0.393628MB
ratio = 40.14091413767579, flow_size = 0.029661MB
ratio = 6.346853928101185, flow_size = 4.384833MB
ratio = 6.016036354595431, flow_size = 2.491321MB
ratio = 2.5940137859854766, flow_size = 0.597522MB
ratio = 2.0030330306825297, flow_size = 0.510274MB
ratio = 4.210737126186652, flow_size = 4.921395MB
ratio = 3.2126474442988204, flow_size = 0.02316MB
ratio = 7.684535497417854, flow_size = 0.95162MB
ratio = 96.73808409027062, flow_size = 0.028103MB
ratio = 7.765650506814472, flow_size = 2.414189MB
ratio = 41.97053785542994, flow_size = 0.109649MB
ratio = 51.57804211541553, flow_size = 0.049125MB
ratio = 12.321590440873507, flow_size = 0.01654MB
ratio = 110.30104682575417, flow_size = 0.112676MB
ratio = 2.6882061028402493, flow_size = 0.013725MB
ratio = 2.2038552742293276, flow_size = 0.056681MB
ratio = 25.38026460859978, flow_size = 0.008955MB
ratio = 61.517976373908574, flow_size = 0.040069MB
ratio = 6.194913276814187, flow_size = 0.054084MB
ratio = 39.604310695404635, flow_size = 0.076731MB
ratio = 81.73673257023934, flow_size = 0.02685MB
ratio = 4.4415594603074995, flow_size = 0.052814MB
ratio = 2.0174855181291567, flow_size = 0.011955MB
ratio = 6.213905913869383, flow_size = 1.713508MB
ratio = 2.5625033442131735, flow_size = 1.684029MB
ratio = 195.2600023193784, flow_size = 0.003601MB
ratio = 9.25647490258996, flow_size = 0.002404MB
ratio = 58.737369190953075, flow_size = 0.006759MB
ratio = 96.66905644328331, flow_size = 0.097039MB
ratio = 32.883487007544005, flow_size = 0.000342MB
ratio = 2.3901482405500274, flow_size = 1.956504MB
ratio = 10.70389735661995, flow_size = 3.635033MB
ratio = 2.545023721956275, flow_size = 6.610662MB
ratio = 8.818920054137303, flow_size = 0.156307MB
ratio = 63.77357959872492, flow_size = 0.027986MB
ratio = 81.99222212173284, flow_size = 0.032635MB
ratio = 5.16780261046502, flow_size = 4.22678MB
ratio = 11.601345750367308, flow_size = 1.987092MB
ratio = 86.56089232870475, flow_size = 0.005539MB
ratio = 6.894513551803069, flow_size = 7.771733MB
ratio = 8.86195581846751, flow_size = 1.449259MB
ratio = 8.718967633389875, flow_size = 1.630539MB
ratio = 63.43811002661934, flow_size = 0.008275MB
ratio = 2.359505013868146, flow_size = 0.006258MB
ratio = 96.54191777152806, flow_size = 0.078884MB
ratio = 138.04973251436496, flow_size = 0.021123MB
ratio = 323.401244813278, flow_size = 0.015738MB
ratio = 11.032992516074628, flow_size = 0.240199MB
ratio = 2.60755751044528, flow_size = 8.884662MB
ratio = 40.539524085896694, flow_size = 0.003507MB
ratio = 20.18529477445288, flow_size = 0.11438MB
ratio = 3.3469119971371484, flow_size = 1.900573MB
ratio = 18.521841641139886, flow_size = 1.828156MB
ratio = 40.057307249712316, flow_size = 0.002178MB
ratio = 155.16954054956057, flow_size = 0.007983MB
ratio = 57.141484905387834, flow_size = 0.065918MB
ratio = 39.66571574866506, flow_size = 0.063818MB
ratio = 146.83439227659048, flow_size = 0.045283MB
ratio = 12.721922607566036, flow_size = 0.506739MB
